datetime,open,high,low,close,volume,ret,ma_40,ma_100,signal,position,turnover,cost,strategy_ret,equity,buy_hold
2020-12-07 08:00:00+00:00,1.852,1.8521,1.841,1.8444,19169.06,-0.0045336787564767,1.8865875000000003,1.961834,-1,-1.0,0.0,0.0,0.0045336787564767,0.4679422485882335,1.1324546176047208
2020-12-07 09:00:00+00:00,1.8444,1.848,1.8399,1.8418,33898.38,-0.0014096725222294548,1.8836424999999999,1.958799,-1,-1.0,0.0,0.0,0.0014096725222294548,0.469351921110463,1.131044945082491
2020-12-07 10:00:00+00:00,1.8411,1.8411,1.8198,1.8247,51282.89,-0.00928439569985895,1.880875,1.9555250000000002,-1,-1.0,0.0,0.0,0.00928439569985895,0.4786363168103219,1.1217605493826324
2020-12-07 11:00:00+00:00,1.8247,1.8426,1.822,1.827,65590.68,0.001260481174987671,1.8771475000000002,1.9519920000000002,-1,-1.0,0.0,0.0,-0.001260481174987671,0.47737583563533426,1.12302103055762
2020-12-07 12:00:00+00:00,1.8269,1.8763,1.8255,1.8666,114782.61,0.021674876847290747,1.87484,1.9487419999999998,-1,-1.0,0.0,0.0,-0.021674876847290747,0.4557009587880435,1.1446959074049108
2020-12-07 13:00:00+00:00,1.8663,1.87,1.86,1.868,60893.94,0.0007500267866709098,1.8727924999999999,1.945428,-1,-1.0,0.0,0.0,-0.0007500267866709098,0.4549509320013726,1.1454459341915815
2020-12-07 14:00:00+00:00,1.8692,1.8785,1.8578,1.8715,80690.68,0.0018736616702355047,1.8706800000000001,1.942066,-1,-1.0,0.0,0.0,-0.0018736616702355047,0.4530772703311371,1.1473195958618172
2020-12-07 15:00:00+00:00,1.8712,1.8926,1.8691,1.8896,39557.93,0.009671386588298247,1.8684325000000002,1.93889,-1,-1.0,0.0,0.0,-0.009671386588298247,0.44340588374283885,1.1569909824501154
2020-12-07 16:00:00+00:00,1.8902,1.899,1.886,1.887,44198.24,-0.0013759525825570718,1.8664049999999999,1.9362140000000003,-1,-1.0,0.0,0.0,0.0013759525825570718,0.4447818363253959,1.1556150298675583
2020-12-07 17:00:00+00:00,1.887,1.8922,1.8701,1.8781,47178.12,-0.004716481187069355,1.8644475,1.933648,-1,-1.0,0.0,0.0,0.004716481187069355,0.4494983175124653,1.1508985486804888
2020-12-07 18:00:00+00:00,1.8768,1.88,1.8145,1.8159,117055.57,-0.03311857728555456,1.8613825000000002,1.930396,-1,-1.0,0.0,0.0,0.03311857728555456,0.48261689479801984,1.1177799713949343
2020-12-07 19:00:00+00:00,1.8199,1.8356,1.8164,1.8164,27328.59,0.0002753455586761433,1.858735,1.927486,-1,-1.0,0.0,0.0,-0.0002753455586761433,0.4823415492393437,1.1180553169536105
2020-12-07 20:00:00+00:00,1.8156,1.8252,1.8088,1.8137,38501.38,-0.0014864567275929552,1.8562100000000001,1.9246189999999999,-1,-1.0,0.0,0.0,0.0014864567275929552,0.48382800596693665,1.1165688602260175
2020-12-07 21:00:00+00:00,1.8156,1.8284,1.8156,1.8235,10502.16,0.005403319181783051,1.8539925,1.921762,-1,-1.0,0.0,0.0,-0.005403319181783051,0.4784246867851536,1.1219721794078006
2020-12-07 22:00:00+00:00,1.8242,1.8341,1.822,1.8264,16529.76,0.0015903482314232331,1.8517850000000002,1.91881,-1,-1.0,0.0,0.0,-0.0015903482314232331,0.47683433855373036,1.1235625276392238
2020-12-07 23:00:00+00:00,1.8256,1.8329,1.8169,1.8272,24418.54,0.00043802014892690977,1.8490125,1.915944,-1,-1.0,0.0,0.0,-0.00043802014892690977,0.47639631840480345,1.1240005477881507
