datetime,open,high,low,close,volume,ret_1h,future_ret_1h,factor_mom_4h,factor_mom_24h,factor_mom_72h,factor_vol_price,factor_range_pos,factor_rsi_14,rolling_ic
2020-05-22 23:00:00+00:00,9196.32,9197.04,9131.12,9170.0,1525.352232,-0.002863098649135032,0.007630316248636859,-0.00040550616325762956,0.011175864103256883,-0.061943444498661515,-0.011520995069839807,-0.03501774791412854,57.761728227983525,-0.02596621788048141
2020-05-23 00:00:00+00:00,9170.0,9252.0,9169.99,9239.97,2541.731351,0.007630316248636859,-0.0003603907804895501,0.006775051510221841,0.023629976502962835,-0.05159192454588668,0.003532750808307502,0.06710303321456546,59.22837541740659,-0.025981774793829085
2020-05-23 01:00:00+00:00,9239.97,9267.32,9221.61,9236.64,1730.186355,-0.0003603907804895501,0.0037491988428692835,0.0034372623574143724,0.016193499056598393,-0.05210301354118041,-0.011779986201295193,0.08742232996182542,58.69424885175694,-0.025939045042809607
2020-05-23 02:00:00+00:00,9236.64,9289.0,9229.55,9271.27,1927.23748,0.0037491988428692835,0.0016545737531104,0.008148902877560982,0.02539694126286829,-0.047737067637355635,-0.01337845979590443,0.13601388366160783,61.26812498736522,-0.025885423622315402
2020-05-23 03:00:00+00:00,9271.27,9307.85,9267.25,9286.61,1914.650574,0.0016545737531104,-0.0036461098290980765,0.012716466739367549,0.032355998243576156,-0.045019744148739105,-0.016322272110754776,0.15739695284294586,71.53160813225357,-0.025984048215170814
2020-05-23 04:00:00+00:00,9286.11,9300.0,9237.57,9252.75,1552.798392,-0.0036461098290980765,0.0011445246007943943,0.0013831213737707237,0.028303847380604985,-0.049567039536531965,-0.024322350756359,0.11019807914802315,64.40139167079454,-0.02595842905481972
2020-05-23 05:00:00+00:00,9252.81,9268.08,9231.0,9263.34,1442.57667,0.0011445246007943943,-0.0020089945959017586,0.002890661539261208,0.0238008662697462,-0.050338515289573116,-0.021752678401952774,0.12495992416955981,56.139671380292256,-0.025951451686605183
2020-05-23 06:00:00+00:00,9263.33,9263.43,9207.38,9244.73,2602.740459,-0.0020089945959017586,0.0011411907108158648,-0.002862606741039886,0.01729059377613451,-0.04932545897480456,0.005827577899326398,0.12228304154538971,50.551276387695175,-0.025930408716496715
2020-05-23 07:00:00+00:00,9244.72,9268.11,9223.84,9255.28,1053.675322,0.0011411907108158648,-0.007286651511353548,-0.0033736745701606896,0.01910081800874508,-0.05215110640472487,-0.02377178024192551,0.13756027629349787,60.58262548975146,-0.02604045352483133
2020-05-23 08:00:00+00:00,9255.7,9255.7,9164.35,9187.84,3272.75287,-0.007286651511353548,-0.005339666341599325,-0.007015211693820689,0.010431112318390445,-0.06054805725971368,0.011567283725735506,0.10359397765905731,48.36964511841361,-0.026080982218439935
2020-05-23 09:00:00+00:00,9188.27,9200.0,9110.1,9138.78,2425.277309,-0.005339666341599325,2.5167473119980244e-05,-0.013446553834793873,0.0031591657519209893,-0.0663539113653383,0.0006032640500028902,0.0578278173078588,45.484443822167584,-0.026089327591899886
2020-05-23 10:00:00+00:00,9138.78,9153.64,9096.07,9139.01,2845.752603,2.5167473119980244e-05,0.00363715544681531,-0.011435704449994644,-0.0028803948759520415,-0.06506100268235837,-0.0024318391883629323,0.058224075254552754,44.92467392574987,-0.026073492277748116
2020-05-23 11:00:00+00:00,9139.0,9187.86,9128.17,9172.25,1648.598565,0.00363715544681531,-0.004367521600479707,-0.008971095417966923,0.0006818677722015831,-0.057439927819870173,-0.000555015510623708,0.11549196285512431,45.81854391141222,-0.02608426643656267
2020-05-23 12:00:00+00:00,9172.26,9173.44,9070.0,9132.19,2617.065237,-0.004367521600479707,0.0022798474407561553,-0.006056918709947068,-0.004452182103405367,-0.06489965185336877,-0.0027880061558806482,0.05452797202797288,42.31928016585903,-0.026121615472570605
2020-05-23 13:00:00+00:00,9132.0,9175.0,9113.1,9153.01,1484.591091,0.0022798474407561553,0.004976504996716757,0.0015571006195573833,0.004051083360391727,-0.06504627265112661,-0.00328872023530451,0.1716008662997469,48.02653211014901,-0.02612061457375276
2020-05-23 14:00:00+00:00,9153.07,9220.0,9138.0,9198.56,2057.077652,0.004976504996716757,2.3916786975552995e-05,0.0065160230703324995,0.006955649796059449,-0.058015850340345065,-6.235075235094521e-05,0.27824896012985534,44.71235464230756,-0.02604298448120822
2020-05-23 15:00:00+00:00,9198.55,9212.62,9170.0,9198.78,1524.105928,2.3916786975552995e-05,-0.0030297495972292365,0.002892420071411106,-0.0025925191023442595,-0.022913590737691836,0.0016417928111489763,0.27869534341077484,45.134733293885134,-0.026053353971315085
2020-05-23 16:00:00+00:00,9198.78,9209.06,9136.0,9170.91,1789.094357,-0.0030297495972292365,0.000996629560207074,0.004239946825460139,-0.007660919894694751,-0.03443675977759508,0.0017329965653044275,0.22214669777822782,36.692069587461205,-0.026081294798258024
2020-05-23 17:00:00+00:00,9170.92,9198.93,9155.81,9180.05,1005.052275,0.000996629560207074,-0.0017505351278043202,0.0029542194316403148,-0.001399990427416009,-0.03767714558565627,0.0017389857630720365,0.24069189408541947,35.64822759448387,-0.02607758741091244
2020-05-23 18:00:00+00:00,9179.72,9205.29,9150.0,9163.98,1165.941619,-0.0017505351278043202,0.0018550891643149825,-0.0037592840618531076,-0.00394228417706044,-0.038590741327469535,0.004043019461993989,0.20694993278200868,37.42611065028681,-0.026099281122367514
2020-05-23 19:00:00+00:00,9163.98,9197.0,9125.0,9180.98,1394.807297,0.0018550891643149825,0.005293552540142743,-0.0019350392117216675,0.0007913910605512608,-0.03682441966472905,-0.0006061347644024005,0.1610744530227317,38.57446738322158,-0.026027370547698374
2020-05-23 20:00:00+00:00,9180.97,9247.63,9164.01,9229.58,2004.091045,0.005293552540142743,-0.000388966778553268,0.006397402220717385,0.005642970693380267,-0.03744037177559134,0.0017373492512604187,0.29090641946945084,48.16077006407974,-0.026038835267573775
2020-05-23 21:00:00+00:00,9229.58,9239.92,9209.5,9225.99,978.362816,-0.000388966778553268,-0.00010730555745230852,0.005004330041775473,0.002280282455187299,-0.03405013605605989,-0.0032344234323029913,0.28131595116608177,46.27253769612121,-0.025987809658746273
2020-05-23 22:00:00+00:00,9226.0,9247.56,9209.87,9225.0,999.362565,-0.00010730555745230852,-0.00497018970189711,0.0066586788709710465,0.0031175479783782656,-0.031775602844323125,-0.004192969918515645,0.27867122592364924,56.02278348043123,-0.025992375458043785
2020-05-23 23:00:00+00:00,9225.0,9229.78,9152.44,9179.15,1548.767134,-0.00497018970189711,0.0018770801217977695,-0.00019932512651155143,0.000997818974918241,-0.03493481001279519,-0.0004828578784817804,0.1561857184836889,56.63696153678867,-0.026030242001684783
2020-05-24 00:00:00+00:00,9179.01,9212.0,9120.77,9196.38,2185.049579,0.0018770801217977695,-0.002660829587294078,-0.0035971300969275255,-0.004717547784246046,-0.037679224315279924,-0.002877607072582365,0.20221462346057972,58.89562326494271,-0.025981706707716917
2020-05-24 01:00:00+00:00,9196.38,9212.23,9170.67,9171.91,1064.599448,-0.002660829587294078,0.0029492221358473625,-0.005861701562650756,-0.007007959604358294,-0.03604767259771513,0.007670234395204867,0.13684449549862276,50.03979825932119,-0.025989378076075008
2020-05-24 02:00:00+00:00,9171.95,9231.0,9171.95,9198.96,1275.442278,0.0029492221358473625,-0.0006739892335654307,-0.0028227642276423826,-0.00779936297831918,-0.028831140038323322,0.005614334452070161,0.20910693772873867,61.074178312724165,-0.02594860909420596
2020-05-24 03:00:00+00:00,9198.96,9216.59,9180.0,9192.76,874.078602,-0.0006739892335654307,-0.00024149439341392132,0.001482708093886842,-0.010105948241608154,-0.030644169741347316,0.012460400169810721,0.19254401196804916,56.95710658068075,-0.025956642546462384
2020-05-24 04:00:00+00:00,9192.77,9221.72,9190.0,9190.54,811.781628,-0.00024149439341392132,0.0015733569518221469,-0.0006350324801713825,-0.006723406554807965,-0.030906876571783926,0.008247498554701412,0.1615699737472257,48.457094699222196,-0.026000051250583894
2020-05-24 05:00:00+00:00,9191.35,9216.33,9184.0,9205.0,681.244174,0.0015733569518221469,0.007583921781640468,0.0036077545462178673,-0.006297944369957342,-0.031368711262640625,0.008268015468076297,0.12579588866654456,51.27233280439903,-0.025991589393943897
