period,ann_return,ann_vol,sharpe,max_drawdown,total_return,hit_rate,avg_abs_position,turnover_per_bar,ic,method,horizon
train,-0.0010368603156971396,0.07053363326823056,-0.014700225518712326,-0.6132533172454191,-0.09309869349683408,0.09916699722332407,0.2000427180911116,0.04650169346718335,0.08180603578243405,linear,1d
valid,-0.004179782083699654,0.03800410049860335,-0.10998239739559842,-0.2266475207289217,-0.12509572460913743,0.027462467960454047,0.056298059318930796,0.03039179787623581,0.10680831821340263,linear,1d
test,0.00630201344293241,0.03627551248366622,0.17372637935218746,-0.13936143653675992,0.18862875853160732,0.041647597254004576,0.08210526315789474,0.03130434782608696,0.12366302557893559,linear,1d
train,-0.0010443196739922975,0.07053391255035384,-0.014805922941631267,-0.6132533172454191,-0.09376846212534695,0.09916699722332407,0.2000427180911116,0.04637964177829311,0.08180199769680702,ridge,1d
valid,-0.003922827438139569,0.03799127120612772,-0.10325601943813992,-0.2266475207289217,-0.11740538886092267,0.027462467960454047,0.056114976199194436,0.03020871475649945,0.10680863862170668,ridge,1d
test,0.006534577774402736,0.03628891550592155,0.18007090273437454,-0.13936143653675948,0.19558975941191847,0.04183066361556064,0.0822883295194508,0.03130434782608696,0.1236725394353545,ridge,1d
train,0.01210421610203413,0.04089449173652886,0.2959864663441234,-0.18455688840695128,1.0868259570190926,0.03563909315595155,0.0677997131785311,0.023678027644707535,0.02048522990343997,tree,1d
valid,-0.0027856044485273803,0.03146914259201801,-0.0885186000979237,-0.3120260649221196,-0.0833697068375705,0.046411570853167335,0.09474551446356647,0.02361772244599048,0.03650576255905234,tree,1d
test,-0.007419280154654965,0.020270470096198968,-0.3660142127658992,-0.27321212452677535,-0.22207023476604282,0.02691075514874142,0.05794050343249428,0.015194508009153318,0.03329083409963131,tree,1d
train,0.0006127088528706913,0.02948192267702483,0.020782526960094545,-0.6997014523316485,0.3851346454794786,0.09664688245732117,0.2000244753105305,0.05598727283852414,0.1514236923705428,equal_weight,1w
valid,6.648974776642368e-05,0.019969666411706714,0.00332953722889661,-0.2563596838556951,0.013932159455056548,0.0703928046989721,0.144640234948605,0.04772393538913363,0.17086047860996464,equal_weight,1w
test,0.0018001327284581725,0.017216464516369056,0.10455879177438805,-0.11722595387958079,0.3771970424861595,0.06919970631424376,0.14069383259911894,0.0394640234948605,0.1830820966437897,equal_weight,1w
train,0.0008309366360312251,0.02980446617331476,0.027879601372468095,-0.402534136214443,0.5223075939484099,0.09979807868812336,0.2000244753105305,0.02698402985987885,0.08727603864803171,ic_weight,1w
valid,-0.0005096571106794998,0.015636227006476627,-0.032594634912143226,-0.26237667948200305,-0.10679276688392048,0.036068281938325994,0.07241189427312775,0.0157856093979442,0.10872544530158622,ic_weight,1w
test,0.000987326255754222,0.015098074333698593,0.06539418431332862,-0.17270813453928624,0.2068828246672687,0.0394640234948605,0.07883627019089574,0.015051395007342145,0.12423094902805833,ic_weight,1w
train,0.00018446731909196084,0.026821879180458894,0.006877494222192854,-0.8212541210553501,0.11595189984307752,0.10044055558954905,0.2000244753105305,0.02037569601664321,0.05832854364057507,linear,1w
valid,-0.0007470321931328909,0.010889063833409061,-0.06860389511547349,-0.26268848739951123,-0.15653197646876926,0.015877386196769455,0.03138766519823789,0.009361233480176211,0.0768009066718995,linear,1w
test,-0.00010694955555908742,0.012327199692239188,-0.008675900304139589,-0.25055670302007904,-0.022410045334073647,0.026064610866372982,0.053046989720998534,0.013399412628487518,0.0903487433653254,linear,1w
train,0.00020157724914325706,0.02681838636010243,0.007516382471211708,-0.8218485678403222,0.12670680702878356,0.10044055558954905,0.2000244753105305,0.020192131187664445,0.0583352740975371,ridge,1w
valid,-0.0007815080390441379,0.010901429951286531,-0.07168858053818053,-0.26268848739951123,-0.16375599218124903,0.015877386196769455,0.031479441997063144,0.009361233480176211,0.07680649969404488,ridge,1w
test,-0.00010694955555908742,0.012327199692239188,-0.008675900304139589,-0.25055670302007904,-0.022410045334073647,0.026064610866372982,0.053046989720998534,0.013399412628487518,0.0903539033584431,ridge,1w
train,0.0022413660065661862,0.02167652550375971,0.10340061215887343,-0.26256706273231334,1.408870947896589,0.08281833200758734,0.16101694915254236,0.01236003181790369,0.024665151051358802,tree,1w
valid,-0.0002525786415117678,0.015100079207411625,-0.016726974610026795,-0.24299468131986413,-0.05292493995985059,0.07488986784140969,0.15840675477239355,0.017437591776798825,0.014036258816851064,tree,1w
test,-0.00031647614144803785,0.0037313710167203944,-0.08481497552237449,-0.10063849710895989,-0.06631392379265033,0.010279001468428781,0.022852422907488987,0.004955947136563877,0.005379836266098942,tree,1w
