method,lookback,q,fee_bps,period,ann_return,ann_vol,sharpe,max_drawdown,total_return,hit_rate,avg_abs_position,turnover_per_bar,ic,horizon
linear,288,0.7,2.0,train,0.6885770649287046,0.5250269263586271,1.3115080967454271,-0.6080423888833062,2.57721189815268,0.29249397627108303,0.6106688626589807,0.21002226492207277,0.10455607376736066,1h
linear,288,0.7,2.0,valid,-0.6675299962037876,0.42169920982611125,-1.5829529215362896,-1.0740450511530366,-0.832812252113117,0.2959099643151249,0.6129563546527587,0.21319425382011162,0.10959302525573543,1h
linear,288,0.7,2.0,test,0.05108956969334569,0.32520632742314964,0.15709894114965767,-0.38516944616632165,0.06373948712083899,0.2917009790465733,0.6001463994876018,0.20111629609296366,0.11370194659342937,1h
linear,576,0.7,2.0,train,0.4865442049771062,0.5152381016561088,0.9443094433684679,-0.7343370216238849,1.821041649381839,0.2883764906822826,0.6037148869978956,0.2041052856315003,0.10455607376736066,1h
linear,576,0.7,2.0,valid,-0.4710596099151498,0.42310106344022297,-1.1133500967475174,-0.7426191294141959,-0.5876952599043814,0.2941714703998536,0.6087473693842071,0.2020312928904749,0.10959302525573543,1h
linear,576,0.7,2.0,test,0.03926655865466264,0.3268879772715989,0.1201223703068086,-0.3331100979640865,0.04898906615716592,0.29005398481105316,0.6001463994876018,0.19965230121694574,0.11370194659342937,1h
linear,1152,0.7,2.0,train,0.431247948775552,0.5118347166754684,0.8425531421093249,-0.6248816719896282,1.6140783671809102,0.2897794857717998,0.605392381126666,0.19742580900966847,0.10455607376736066,1h
linear,1152,0.7,2.0,valid,-0.31380478766652536,0.42714522085116474,-0.7346559726015712,-0.5329837523029544,-0.39150371283187413,0.29362247232134686,0.6084728703449538,0.19709031018391435,0.10959302525573543,1h
linear,1152,0.7,2.0,test,-0.05345792813965172,0.32925753867233215,-0.1623590103819963,-0.43909243724975844,-0.0666942576071109,0.28950498673254643,0.6037148869978956,0.1959923140269009,0.11370194659342937,1h
linear,-1,0.75,2.0,train,0.315500104546614,0.471313483028893,0.6694060660413419,-0.844924945800666,1.1808563844487017,0.2400646597736908,0.5000152499466252,0.1626864305974929,0.10455607376736066,1h
linear,-1,0.75,2.0,valid,-0.3822925820116166,0.38708132533621353,-0.9876285860072492,-0.6988776870923842,-0.4769492726946062,0.2398206606276878,0.49638576264983075,0.18116936590721933,0.10959302525573543,1h
linear,-1,0.75,2.0,test,0.021655200078125464,0.3155199846462482,0.06863337072738718,-0.29899025909549426,0.027017086946780067,0.24576813981151066,0.5107512123707567,0.1731173940891207,0.11370194659342937,1h
linear,288,0.75,2.0,train,0.37879817942619726,0.48562976272418457,0.780014341174837,-0.5633360983318711,1.4177689393661401,0.2427181504864733,0.5126117058590295,0.19422332021837924,0.10455607376736066,1h
linear,288,0.75,2.0,valid,-0.5012035436971726,0.38480109307831883,-1.3025003117523948,-0.8311807897738542,-0.625302914276964,0.24567664013175955,0.512489706286028,0.19526031658889195,0.10959302525573543,1h
