method,horizon,split,calendar,n_periods,mean_period_return,std_period_return,win_rate,total_return
ic_weight,1d,train,month,46,0.002634582841168192,0.05337222889569514,0.41304347826086957,0.0595796680373315
ic_weight,1d,train,quarter,16,0.010511555654750294,0.12089635880490901,0.625,0.059579668037336164
ic_weight,1d,train,year,4,0.02397270146705871,0.15580613887793698,0.75,0.0595796680373355
ic_weight,1d,valid,month,16,-0.0002245278741864684,0.03643726449280538,0.4375,-0.01363458668416806
ic_weight,1d,valid,quarter,6,-0.0017562232847573485,0.03552795544632292,0.5,-0.013634586684164507
ic_weight,1d,valid,year,3,-0.004257340620119732,0.03028101172806442,0.3333333333333333,-0.013634586684167171
ic_weight,1d,test,month,16,0.01863934645147746,0.05508036608723393,0.4375,0.3158529484338075
ic_weight,1d,test,quarter,6,0.04937038287973592,0.0824319207286855,0.6666666666666666,0.31585294843381084
ic_weight,1d,test,year,2,0.1573351174053078,0.21712496653195165,1.0,0.31585294843380707
linear,1d,train,month,46,-0.004409917356432058,0.07087130809967677,0.41304347826086957,-0.2715934786623093
linear,1d,train,quarter,16,-0.014432787889342658,0.10426199915079042,0.4375,-0.27159347866230477
linear,1d,train,year,4,-0.06503524900785135,0.16105874010244292,0.5,-0.27159347866230377
linear,1d,valid,month,16,-0.008224169980323694,0.04412444805779932,0.25,-0.13648123493127384
linear,1d,valid,quarter,6,-0.022218869156267234,0.06771592278820458,0.16666666666666666,-0.1364812349312745
linear,1d,valid,year,3,-0.046755527035933185,0.05255083524381762,0.0,-0.1364812349312743
linear,1d,test,month,16,0.011159661767158859,0.03492917960785985,0.4375,0.18407835255728666
linear,1d,test,quarter,6,0.029931598993643727,0.05943376280167097,0.6666666666666666,0.184078352557288
linear,1d,test,year,2,0.088599424775473,0.04405349167099125,1.0,0.18407835255728755
ridge,1d,train,month,46,-0.0044212578631535795,0.07090959698409273,0.41304347826086957,-0.2720824676476057
ridge,1d,train,quarter,16,-0.014468991635677504,0.10430753316254698,0.4375,-0.2720824676475996
ridge,1d,train,year,4,-0.06521397232566661,0.16086674808977078,0.5,-0.2720824676475986
ridge,1d,valid,month,16,-0.00772577674192329,0.044692182352445466,0.25,-0.12980208219127398
ridge,1d,valid,quarter,6,-0.02089783779359657,0.06893138711893255,0.16666666666666666,-0.1298020821912751
ridge,1d,valid,year,3,-0.04425893249040025,0.053788610400577495,0.0,-0.12980208219127454
ridge,1d,test,month,16,0.011617154797990421,0.03551649783596417,0.4375,0.19233203809006882
ridge,1d,test,quarter,6,0.0311712985886331,0.06045936028955284,0.6666666666666666,0.19233203809007104
ridge,1d,test,year,2,0.09232104744660052,0.04082236163600255,1.0,0.19233203809006816
tree,1d,train,month,46,0.02445465952472504,0.07106503271300338,0.4782608695652174,1.7511997324650674
tree,1d,train,quarter,16,0.07110423485924461,0.11910613719081371,0.75,1.7511997324650634
tree,1d,train,year,4,0.3007460418788079,0.20484904974953552,1.0,1.7511997324650639
